Country,Cases,Deaths,Category,Asof
Aruba,3,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Andorra,4,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
United Arab Emirates,16,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Argentina,1149,2,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Australia,334,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Austria,348,1,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Burundi,9,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Belgium,810,2,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Benin,3,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Bulgaria,7,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Bahrain,2,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Bahamas,3,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Bosnia and Herzegovina,9,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Bermuda,1,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Bolivia,265,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Brazil,11212,16,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Barbados,1,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Central African Republic,75,1,Has historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Canada,1557,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Switzerland,579,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Chile,1449,3,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Cameroon,50,5,Has historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Democratic Republic of the Congo,3104,10,Has historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Republic of the Congo,45,2,Has historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Colombia,4249,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Costa Rica,225,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Cuba,8,1,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Curaçao,3,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Cyprus,5,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Czechia,82,1,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Germany,3857,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Denmark,198,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Dominican Republic,52,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Ecuador,557,3,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Egypt,3,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Spain,8084,3,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Estonia,11,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Finland,43,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
France,4272,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
United Kingdom,3952,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Georgia,2,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Ghana,127,4,Has historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Gibraltar,6,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Guadeloupe,1,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Greece,99,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Greenland,2,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Guatemala,405,1,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Guyana,2,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Honduras,44,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Croatia,34,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Hungary,85,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Indonesia,88,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
India,27,1,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Ireland,249,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Iran,1,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Iceland,17,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Israel,314,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Italy,1049,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Jamaica,21,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Jordan,1,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Japan,247,1,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Kenya,1,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Cambodia,13,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
South Korea,161,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Laos,1,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Lebanon,27,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Liberia,23,0,Has historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Sri Lanka,4,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Lithuania,5,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Luxembourg,61,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Latvia,6,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Saint Martin,1,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Morocco,3,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Monaco,3,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Moldova,2,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Mexico,4124,34,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Malta,35,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Montenegro,2,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Mozambique,1,1,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Martinique,7,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Malaysia,9,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
New Caledonia,1,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Nigeria,898,9,Has historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Netherlands,1304,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Norway,106,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Nepal,1,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
New Zealand,53,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Oman,3,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Pakistan,7,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Panama,239,1,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Peru,3875,20,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Philippines,9,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Poland,223,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Portugal,1193,3,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Paraguay,126,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Qatar,5,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Romania,47,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Russia,4,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Rwanda,4,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Saudi Arabia,8,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Sudan,19,1,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Singapore,61,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
El Salvador,104,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
San Marino,1,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Serbia,40,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Slovakia,16,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Slovenia,47,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Sweden,299,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Thailand,805,10,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Trinidad & Tobago,3,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Turkey,12,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Uganda,2,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Ukraine,5,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Uruguay,19,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
United States,33435,60,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Venezuela,12,0,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
Vietnam,202,8,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
South Africa,27,3,Has not historically reported mpox,Data as of 06 Aug 2024 5:30 PM EDT
China,1931,0,Has not historically reported mpox,Data as of 30 Apr 2024 5:30 PM EDT
Hong Kong,84,0,Has not historically reported mpox,Data as of 30 Apr 2024 5:30 PM EDT
Taiwan,340,0,Has not historically reported mpox,Data as of 30 Apr 2024 5:30 PM EDT
Macau,2,0,Has not historically reported mpox,Data as of 30 Apr 2024 5:30 PM EDT
,,0,Has not historically reported mpox,Data as of 30 Jun 2024 5:30 PM EDT